match_id,season_id,match_number,match_date,stage,venue_id,venue_name,team1_id,team1_name,team2_id,team2_name,toss_winner_id,toss_selection,team1_score,team2_score,winner_id,winning_team_name,score_margin,is_tie,team1_raid_points,team1_tackle_points,team1_all_out_points,team1_extra_points,team2_raid_points,team2_tackle_points,team2_all_out_points,team2_extra_points,team1_raids_total,team1_raids_successful,team1_raids_unsuccessful,team1_raids_empty,team1_super_raids,team2_raids_total,team2_raids_successful,team2_raids_unsuccessful,team2_raids_empty,team2_super_raids,team1_tackles_total,team1_tackles_successful,team1_super_tackles,team2_tackles_total,team2_tackles_successful,team2_super_tackles,team1_all_outs,team2_all_outs
11,1,Match 11,8/1/2014,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",6,Patna Pirates,8,Telugu Titans,8,Choice of court : Left,34,35,8.0,Telugu Titans,1,False,27,4,2,1,27,6,2,0,40,22,5,13,0,41,22,8,11,0,23,4,0,28,5,0,2,2
12,1,Match 12,8/1/2014,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4,Bengal Warriors,7,Puneri Paltan,7,Choice of court : Right,37,34,4.0,Bengal Warriors,3,False,26,9,2,0,22,8,4,0,40,17,8,15,0,39,15,9,14,0,29,8,0,30,8,0,2,4
13,1,Match 13,8/2/2014,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",3,Jaipur Pink Panthers,6,Patna Pirates,3,Choice of court : Right,35,18,3.0,Jaipur Pink Panthers,17,False,24,7,4,0,14,4,0,0,39,21,3,15,0,39,14,12,13,0,16,7,0,20,3,0,4,0
14,1,Match 14,8/2/2014,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4,Bengal Warriors,5,U Mumba,5,Choice of court : Right,28,38,5.0,U Mumba,10,False,22,6,0,0,26,8,4,0,37,17,8,12,0,37,20,6,11,0,30,5,0,25,8,0,0,4
15,1,Match 15,8/3/2014,League,2,"Thyagaraj Sports Complex, Delhi",2,Dabang Delhi K.C.,8,Telugu Titans,8,Choice of court : Right,34,36,8.0,Telugu Titans,2,False,21,11,2,0,22,9,2,3,41,19,11,11,0,41,19,9,13,0,30,9,0,28,9,0,2,2
16,1,Match 16,8/3/2014,League,2,"Thyagaraj Sports Complex, Delhi",1,Bengaluru Bulls,7,Puneri Paltan,7,Choice of court : Left,30,31,7.0,Puneri Paltan,1,False,21,7,2,0,18,11,2,0,41,17,12,12,0,40,15,8,17,0,20,7,0,28,10,0,2,2
17,1,Match 17,8/4/2014,League,2,"Thyagaraj Sports Complex, Delhi",5,U Mumba,7,Puneri Paltan,7,Choice of court : Right,41,25,5.0,U Mumba,16,False,26,9,6,0,18,5,2,0,39,20,5,14,0,39,12,12,14,0,21,9,0,24,4,0,6,2
18,1,Match 18,8/4/2014,League,2,"Thyagaraj Sports Complex, Delhi",2,Dabang Delhi K.C.,6,Patna Pirates,6,Choice of court : Right,30,33,6.0,Patna Pirates,3,False,26,4,0,0,20,9,4,0,44,24,9,11,0,42,17,3,20,0,18,2,0,23,8,0,0,4
19,1,Match 19,8/5/2014,League,2,"Thyagaraj Sports Complex, Delhi",1,Bengaluru Bulls,5,U Mumba,5,Choice of court : Right,32,43,5.0,U Mumba,11,False,22,10,0,0,22,13,6,2,41,16,14,11,0,40,18,9,13,0,27,8,0,24,13,0,0,6
20,1,Match 20,8/5/2014,League,2,"Thyagaraj Sports Complex, Delhi",2,Dabang Delhi K.C.,3,Jaipur Pink Panthers,2,Choice of court : Left,29,36,3.0,Jaipur Pink Panthers,7,False,17,10,2,0,18,14,4,0,40,15,16,9,0,40,15,10,15,0,25,9,0,29,14,0,2,4
21,1,Match 21,8/6/2014,League,2,"Thyagaraj Sports Complex, Delhi",2,Dabang Delhi K.C.,4,Bengal Warriors,2,Choice of court : Left,45,35,2.0,Dabang Delhi K.C.,10,False,26,13,6,0,26,5,4,0,39,19,6,14,0,38,22,13,3,0,35,13,0,28,5,0,6,4
22,1,Match 22,8/7/2014,League,6,"Patliputra Sports Complex, Patna",6,Patna Pirates,7,Puneri Paltan,7,Choice of court : Right,34,26,6.0,Patna Pirates,8,False,25,4,0,5,22,4,0,0,37,19,4,13,0,38,19,4,15,0,22,4,0,25,3,0,0,0
23,1,Match 23,8/8/2014,League,6,"Patliputra Sports Complex, Patna",4,Bengal Warriors,8,Telugu Titans,4,Choice of court : Right,39,34,4.0,Bengal Warriors,5,False,29,8,2,0,26,6,2,0,42,22,6,14,0,40,21,8,11,0,29,7,0,25,5,0,2,2
24,1,Match 24,8/8/2014,League,6,"Patliputra Sports Complex, Patna",5,U Mumba,6,Patna Pirates,5,Choice of court : Left,37,37,,Tie,0,True,21,14,2,0,22,13,2,0,37,17,9,11,0,38,17,13,8,0,30,13,0,25,9,0,2,2
25,1,Match 25,8/9/2014,League,6,"Patliputra Sports Complex, Patna",3,Jaipur Pink Panthers,8,Telugu Titans,8,Choice of court : Left,48,29,3.0,Jaipur Pink Panthers,19,False,30,11,4,3,20,6,2,1,39,20,5,14,0,41,16,12,13,0,26,11,0,30,5,0,4,2
26,1,Match 26,8/9/2014,League,6,"Patliputra Sports Complex, Patna",2,Dabang Delhi K.C.,6,Patna Pirates,6,Choice of court : Right,28,30,6.0,Patna Pirates,2,False,23,3,2,0,21,7,2,0,39,20,7,12,0,41,19,5,17,0,19,3,0,26,7,0,2,2
27,1,Match 27,8/10/2014,League,6,"Patliputra Sports Complex, Patna",3,Jaipur Pink Panthers,4,Bengal Warriors,4,Choice of court : Left,36,23,3.0,Jaipur Pink Panthers,13,False,19,13,4,0,15,7,0,1,37,17,6,13,0,36,8,13,15,0,23,11,0,23,6,0,4,0
28,1,Match 28,8/10/2014,League,6,"Patliputra Sports Complex, Patna",1,Bengaluru Bulls,6,Patna Pirates,1,Choice of court : Left,33,33,,Tie,0,True,22,7,4,0,25,6,2,0,40,19,6,14,0,41,21,9,11,0,23,7,0,26,5,0,4,2
29,1,Match 29,8/12/2014,League,7,"Shree Shiv Chhatrapati Sports Complex, Pune",7,Puneri Paltan,8,Telugu Titans,8,Choice of court : Right,34,41,8.0,Telugu Titans,7,False,25,7,2,0,29,8,4,0,41,18,8,15,0,44,23,6,15,0,29,6,0,28,7,0,2,4
30,1,Match 30,8/13/2014,League,7,"Shree Shiv Chhatrapati Sports Complex, Pune",1,Bengaluru Bulls,5,U Mumba,1,Choice of court : Right,32,27,1.0,Bengaluru Bulls,5,False,20,8,2,2,18,9,0,0,41,17,11,13,0,40,15,9,16,0,21,8,0,28,9,0,2,0
31,1,Match 31,8/13/2014,League,7,"Shree Shiv Chhatrapati Sports Complex, Pune",4,Bengal Warriors,7,Puneri Paltan,7,Choice of court : Left,29,38,7.0,Puneri Paltan,9,False,19,7,2,1,19,14,4,1,39,17,12,10,0,37,15,8,14,0,25,7,0,24,10,0,2,4
32,1,Match 32,8/14/2014,League,7,"Shree Shiv Chhatrapati Sports Complex, Pune",1,Bengaluru Bulls,2,Dabang Delhi K.C.,2,Choice of court : Right,26,25,1.0,Bengaluru Bulls,1,False,15,9,2,0,12,11,2,0,40,11,13,16,0,39,11,9,18,0,19,8,0,22,10,0,2,2
33,1,Match 33,8/14/2014,League,7,"Shree Shiv Chhatrapati Sports Complex, Pune",3,Jaipur Pink Panthers,7,Puneri Paltan,7,Choice of court : Left,48,22,3.0,Jaipur Pink Panthers,26,False,26,16,6,0,16,6,0,0,39,23,6,10,0,41,13,15,13,0,26,14,0,30,6,0,6,0
34,1,Match 34,8/15/2014,League,7,"Shree Shiv Chhatrapati Sports Complex, Pune",2,Dabang Delhi K.C.,5,U Mumba,5,Choice of court : Right,34,22,2.0,Dabang Delhi K.C.,12,False,19,11,4,0,18,4,0,0,38,15,7,15,0,38,15,10,12,0,23,10,0,22,4,0,4,0
35,1,Match 35,8/15/2014,League,7,"Shree Shiv Chhatrapati Sports Complex, Pune",6,Patna Pirates,7,Puneri Paltan,7,Choice of court : Left,34,29,6.0,Patna Pirates,5,False,23,7,4,0,20,6,2,1,42,19,7,15,0,41,16,8,17,0,20,7,0,23,5,0,4,2
36,1,Match 36,8/16/2014,League,8,"Rajiv Gandhi Indoor Stadium, Vizag",1,Bengaluru Bulls,8,Telugu Titans,1,Choice of court : Left,28,28,,Tie,0,True,19,9,0,0,18,8,2,0,43,18,7,18,0,41,17,7,17,0,22,7,0,21,7,0,0,2
37,1,Match 37,8/16/2014,League,8,"Rajiv Gandhi Indoor Stadium, Vizag",3,Jaipur Pink Panthers,4,Bengal Warriors,4,Choice of court : Left,41,31,3.0,Jaipur Pink Panthers,10,False,25,12,2,2,20,8,2,1,42,20,10,12,0,36,16,10,10,0,28,10,0,26,8,0,2,2
38,1,Match 38,8/17/2014,League,8,"Rajiv Gandhi Indoor Stadium, Vizag",3,Jaipur Pink Panthers,6,Patna Pirates,3,Choice of court : Right,28,51,6.0,Patna Pirates,23,False,22,6,0,0,25,17,8,1,35,16,16,3,0,37,15,7,15,0,29,5,0,29,15,0,0,8
39,1,Match 39,8/17/2014,League,8,"Rajiv Gandhi Indoor Stadium, Vizag",5,U Mumba,8,Telugu Titans,5,Choice of court : Left,42,42,,Tie,0,True,33,6,2,1,33,3,6,0,44,28,5,11,0,41,25,5,11,0,33,4,0,23,3,0,2,6
40,1,Match 40,8/18/2014,League,8,"Rajiv Gandhi Indoor Stadium, Vizag",4,Bengal Warriors,6,Patna Pirates,6,Choice of court : Right,29,27,4.0,Bengal Warriors,2,False,18,9,2,0,19,8,0,0,39,15,8,16,0,41,16,10,15,0,24,9,0,23,7,0,2,0
41,1,Match 41,8/18/2014,League,8,"Rajiv Gandhi Indoor Stadium, Vizag",7,Puneri Paltan,8,Telugu Titans,8,Choice of court : Right,23,58,8.0,Telugu Titans,35,False,22,1,0,0,35,14,8,1,40,16,14,10,0,38,27,1,10,0,32,1,0,28,12,0,0,8
42,1,Match 42,8/19/2014,League,8,"Rajiv Gandhi Indoor Stadium, Vizag",2,Dabang Delhi K.C.,8,Telugu Titans,2,Choice of court : Left,26,42,8.0,Telugu Titans,16,False,20,6,0,0,26,10,6,0,40,19,13,8,0,39,23,6,10,0,30,6,0,23,10,0,0,6
43,1,Match 43,8/20/2014,League,3,"Sawai Mansingh Stadium, Jaipur",1,Bengaluru Bulls,3,Jaipur Pink Panthers,1,Choice of court : Right,29,35,3.0,Jaipur Pink Panthers,6,False,15,12,2,0,21,10,4,0,38,11,10,17,0,39,17,10,12,0,28,10,0,22,9,0,2,4
44,1,Match 44,8/21/2014,League,3,"Sawai Mansingh Stadium, Jaipur",4,Bengal Warriors,6,Patna Pirates,6,Choice of court : Right,28,36,6.0,Patna Pirates,8,False,20,8,0,0,20,11,4,1,40,18,10,12,0,40,17,8,14,0,26,6,0,22,10,0,0,4
45,1,Match 45,8/21/2014,League,3,"Sawai Mansingh Stadium, Jaipur",3,Jaipur Pink Panthers,5,U Mumba,3,Choice of court : Left,30,31,5.0,U Mumba,1,False,18,10,2,0,20,9,2,0,40,17,7,16,0,41,20,11,10,0,27,10,0,24,7,0,2,2
46,1,Match 46,8/22/2014,League,3,"Sawai Mansingh Stadium, Jaipur",4,Bengal Warriors,8,Telugu Titans,8,Choice of court : Left,34,33,4.0,Bengal Warriors,1,False,16,14,4,0,20,8,4,1,42,13,8,21,0,43,19,12,12,0,31,12,0,22,8,0,4,4
47,1,Match 47,8/22/2014,League,3,"Sawai Mansingh Stadium, Jaipur",2,Dabang Delhi K.C.,3,Jaipur Pink Panthers,2,Choice of court : Right,30,39,3.0,Jaipur Pink Panthers,9,False,19,9,2,0,22,10,6,1,38,14,12,12,0,39,17,10,12,0,29,9,0,25,10,0,2,6
48,1,Match 48,8/23/2014,League,3,"Sawai Mansingh Stadium, Jaipur",6,Patna Pirates,8,Telugu Titans,8,Choice of court : Right,26,28,8.0,Telugu Titans,2,False,16,8,2,0,19,5,4,0,40,13,8,19,0,42,18,8,15,0,26,7,0,16,5,0,2,4
49,1,Match 49,8/23/2014,League,3,"Sawai Mansingh Stadium, Jaipur",3,Jaipur Pink Panthers,7,Puneri Paltan,7,Choice of court : Right,30,21,3.0,Jaipur Pink Panthers,9,False,15,11,4,0,8,11,2,0,39,14,11,13,0,39,8,13,17,0,18,11,0,24,10,0,4,2
50,1,Match 50,8/24/2014,League,1,"Sree Kanteerava Stadium, Bengaluru",1,Bengaluru Bulls,4,Bengal Warriors,1,Choice of court : Left,33,23,1.0,Bengaluru Bulls,10,False,14,14,4,1,11,12,0,0,37,10,9,18,0,37,8,16,13,0,22,14,0,22,8,0,4,0
51,1,Match 51,8/24/2014,League,1,"Sree Kanteerava Stadium, Bengaluru",2,Dabang Delhi K.C.,5,U Mumba,5,Choice of court : Left,29,37,5.0,U Mumba,8,False,14,11,4,0,19,14,4,0,40,11,12,17,0,39,15,12,12,0,25,11,0,25,12,0,4,4
52,1,Match 52,8/25/2014,League,1,"Sree Kanteerava Stadium, Bengaluru",2,Dabang Delhi K.C.,7,Puneri Paltan,2,Choice of court : Left,44,22,2.0,Dabang Delhi K.C.,22,False,24,13,6,1,18,3,0,1,40,21,3,15,0,41,16,13,12,0,27,13,0,23,3,0,6,0
53,1,Match 53,8/25/2014,League,1,"Sree Kanteerava Stadium, Bengaluru",1,Bengaluru Bulls,6,Patna Pirates,6,Choice of court : Right,28,33,6.0,Patna Pirates,5,False,20,6,2,0,18,12,2,1,44,17,9,18,0,44,13,9,22,0,20,6,0,26,9,0,2,2
54,1,Match 54,8/26/2014,League,1,"Sree Kanteerava Stadium, Bengaluru",1,Bengaluru Bulls,8,Telugu Titans,1,Choice of court : Right,26,25,1.0,Bengaluru Bulls,1,False,12,12,2,0,13,10,2,0,41,8,11,22,0,41,10,12,19,0,24,12,0,19,10,0,2,2
55,1,Match 55,8/27/2014,League,1,"Sree Kanteerava Stadium, Bengaluru",5,U Mumba,7,Puneri Paltan,7,Choice of court : Left,36,35,5.0,U Mumba,1,False,21,13,2,0,19,13,2,1,40,14,12,14,0,42,14,13,15,0,25,13,0,28,12,0,2,2
56,1,Match 56,8/27/2014,League,1,"Sree Kanteerava Stadium, Bengaluru",1,Bengaluru Bulls,3,Jaipur Pink Panthers,1,Choice of court : Right,30,29,1.0,Bengaluru Bulls,1,False,22,6,2,0,17,10,2,0,42,18,9,14,0,44,15,6,23,0,21,6,0,27,9,0,2,2
57,1,Semi-Final 1,8/29/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",3,Jaipur Pink Panthers,6,Patna Pirates,3,Choice of court : Right,36,17,3.0,Jaipur Pink Panthers,19,False,16,14,6,0,10,7,0,0,39,13,6,20,0,40,7,15,18,0,22,13,0,20,5,0,6,0
58,1,Semi-Final 2,8/29/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",1,Bengaluru Bulls,5,U Mumba,5,Choice of court : Right,22,26,5.0,U Mumba,4,False,11,9,2,0,9,15,2,0,39,7,13,19,0,39,8,9,22,0,15,9,0,21,12,0,2,2
59,1,3rd Place Playoff,8/31/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",1,Bengaluru Bulls,6,Patna Pirates,6,Choice of court : Left,22,29,6.0,Patna Pirates,7,False,10,12,0,0,8,18,2,1,44,9,18,17,0,44,7,10,27,0,18,10,0,26,18,0,0,2
60,1,Final,8/31/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",3,Jaipur Pink Panthers,5,U Mumba,5,Choice of court : Right,34,22,3.0,Jaipur Pink Panthers,12,False,17,13,4,0,17,4,0,1,39,13,6,20,0,40,13,12,15,0,26,11,0,21,4,0,4,0
62,2,Match 1,7/18/2015,League,5,"National Sports Club of India, Mumbai",5,U Mumba,3,Jaipur Pink Panthers,3,Choice of court :Left,29,28,5.0,U Mumba,1,False,10,16,0,3,7,15,2,4,41,7,12,22,0,40,7,13,20,0,18,11,0,19,11,0,0,1
63,2,Match 2,7/18/2015,League,5,"National Sports Club of India, Mumbai",1,Bengaluru Bulls,4,Bengal Warriors,1,Choice of court :Right,33,25,1.0,Bengaluru Bulls,8,False,16,10,4,3,9,11,2,3,42,11,10,21,0,44,8,12,24,0,17,10,0,23,8,0,2,1
64,2,Match 3,7/19/2015,League,5,"National Sports Club of India, Mumbai",8,Telugu Titans,2,Dabang Delhi,8,Choice of court :Right,36,27,8.0,Telugu Titans,9,False,21,10,4,1,16,9,0,2,39,19,7,13,0,39,13,10,16,0,21,10,0,26,6,0,1,0
65,2,Match 4,7/19/2015,League,5,"National Sports Club of India, Mumbai",5,U Mumba,1,Bengaluru Bulls,1,Choice of court :Left,36,23,5.0,U Mumba,13,False,21,11,4,0,14,7,2,0,42,14,7,21,0,42,11,10,21,0,23,10,0,25,7,0,1,0
66,2,Match 5,7/20/2015,League,5,"National Sports Club of India, Mumbai",7,Puneri Paltan,8,Telugu Titans,7,Choice of court :Right,24,45,8.0,Telugu Titans,21,False,14,7,0,3,24,14,6,1,43,12,12,19,0,41,18,7,16,0,29,7,0,23,11,0,0,2
67,2,Match 6,7/20/2015,League,5,"National Sports Club of India, Mumbai",5,U Mumba,6,Patna Pirates,6,Choice of court :Left,25,20,5.0,U Mumba,5,False,16,7,2,0,14,5,0,1,39,11,6,22,0,39,10,7,22,0,20,7,0,21,5,0,0,0
68,2,Match 7,7/21/2015,League,5,"National Sports Club of India, Mumbai",5,U Mumba,7,Puneri Paltan,7,Choice of court :Left,28,21,5.0,U Mumba,7,False,17,9,2,0,15,3,2,1,38,16,3,19,0,38,11,7,20,0,21,7,0,14,3,0,0,0
69,2,Match 8,7/22/2015,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4,Bengal Warriors,3,Jaipur Pink Panthers,3,Choice of court :Left,28,26,4.0,Bengal Warriors,2,False,12,13,2,1,15,6,2,3,38,11,8,19,0,39,10,11,18,0,24,10,0,17,6,0,0,0
70,2,Match 9,7/22/2015,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",1,Bengaluru Bulls,6,Patna Pirates,6,Choice of court :Left,31,26,1.0,Bengaluru Bulls,5,False,13,12,4,2,16,8,2,0,42,12,8,22,0,41,13,12,16,0,23,12,0,20,8,0,1,0
71,2,Match 10,7/23/2015,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4,Bengal Warriors,8,Telugu Titans,8,Choice of court :Left,30,32,8.0,Telugu Titans,2,False,20,7,2,1,21,8,2,1,41,12,8,21,0,40,17,8,15,0,25,7,0,21,7,0,0,0
72,2,Match 11,7/24/2015,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",2,Dabang Delhi,7,Puneri Paltan,7,Choice of court :Left,38,37,2.0,Dabang Delhi,1,False,24,7,4,3,25,4,4,4,40,16,6,18,0,41,19,9,13,0,28,6,0,22,4,0,1,1
73,2,Match 12,7/24/2015,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4,Bengal Warriors,5,U Mumba,4,Choice of court :Right,25,29,5.0,U Mumba,4,False,8,15,2,0,13,12,2,2,40,6,13,21,0,40,9,12,19,0,22,12,0,20,12,0,0,1
74,2,Match 13,7/25/2015,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",1,Bengaluru Bulls,7,Puneri Paltan,1,Choice of court :Right,31,26,1.0,Bengaluru Bulls,5,False,18,7,2,4,15,7,2,2,42,14,7,21,0,43,13,9,21,0,18,7,0,17,6,0,0,1
75,2,Match 14,7/25/2015,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4,Bengal Warriors,2,Dabang Delhi,4,Choice of court :Right,21,32,2.0,Dabang Delhi,11,False,8,11,0,2,12,13,4,3,40,5,15,20,0,41,8,12,21,0,20,10,0,17,13,0,0,0
76,2,Match 15,7/26/2015,League,3,"Sawai Mansingh Stadium, Jaipur",3,Jaipur Pink Panthers,6,Patna Pirates,3,Choice of court :Left,23,29,6.0,Patna Pirates,6,False,15,7,0,1,14,11,2,2,40,11,12,17,0,40,11,7,22,0,20,6,0,23,11,0,0,0
77,2,Match 16,7/26/2015,League,3,"Sawai Mansingh Stadium, Jaipur",8,Telugu Titans,5,U Mumba,8,Choice of court :Left,26,27,5.0,U Mumba,1,False,13,11,2,0,14,11,2,0,41,9,11,21,0,41,10,10,21,0,23,10,0,21,11,0,0,0
78,2,Match 17,7/27/2015,League,3,"Sawai Mansingh Stadium, Jaipur",2,Dabang Delhi,1,Bengaluru Bulls,1,Choice of court :Right,18,33,1.0,Bengaluru Bulls,15,False,10,7,0,1,14,14,4,1,41,7,13,21,0,40,11,8,21,0,20,7,0,21,12,0,0,2
79,2,Match 18,7/27/2015,League,3,"Sawai Mansingh Stadium, Jaipur",3,Jaipur Pink Panthers,8,Telugu Titans,8,Choice of court :Right,22,33,8.0,Telugu Titans,11,False,16,4,0,2,18,11,4,0,42,13,11,18,0,42,13,6,23,0,22,4,0,22,11,0,0,1
80,2,Match 19,7/28/2015,League,3,"Sawai Mansingh Stadium, Jaipur",3,Jaipur Pink Panthers,1,Bengaluru Bulls,1,Choice of court :Right,36,23,3.0,Jaipur Pink Panthers,13,False,16,15,4,1,9,8,2,4,42,10,10,22,0,42,10,15,17,0,21,14,0,21,8,0,1,0
81,2,Match 20,7/29/2015,League,3,"Sawai Mansingh Stadium, Jaipur",7,Puneri Paltan,4,Bengal Warriors,7,Choice of court :Left,33,29,7.0,Puneri Paltan,4,False,14,11,4,4,16,7,2,4,42,11,11,20,0,42,12,13,17,0,23,10,0,19,7,0,2,1
82,2,Match 21,7/29/2015,League,3,"Sawai Mansingh Stadium, Jaipur",3,Jaipur Pink Panthers,2,Dabang Delhi,2,Choice of court :Right,27,35,2.0,Dabang Delhi,8,False,14,9,0,4,13,17,4,1,42,10,17,15,0,42,12,7,23,0,20,7,0,25,17,0,0,0
83,2,Match 22,7/30/2015,League,6,"Patliputra Sports Complex, Patna",6,Patna Pirates,8,Telugu Titans,8,Choice of court :Left,22,34,8.0,Telugu Titans,12,False,10,12,0,0,19,11,4,0,42,9,11,22,0,42,14,9,19,0,26,9,0,18,11,0,0,1
84,2,Match 23,7/31/2015,League,6,"Patliputra Sports Complex, Patna",8,Telugu Titans,1,Bengaluru Bulls,8,Choice of court :Right,21,35,1.0,Bengaluru Bulls,14,False,13,6,0,2,13,14,4,4,42,12,15,15,0,41,11,6,24,0,17,6,0,23,12,0,0,1
85,2,Match 24,7/31/2015,League,6,"Patliputra Sports Complex, Patna",6,Patna Pirates,2,Dabang Delhi,2,Choice of court :Left,39,22,6.0,Patna Pirates,17,False,17,15,4,3,15,5,0,2,44,17,5,22,0,43,12,16,15,0,25,15,0,19,5,0,0,0
86,2,Match 25,8/1/2015,League,6,"Patliputra Sports Complex, Patna",2,Dabang Delhi,5,U Mumba,2,Choice of court :Right,22,27,5.0,U Mumba,5,False,9,13,0,0,12,11,2,2,40,8,11,21,0,42,10,10,22,0,21,10,0,19,11,0,0,1
87,2,Match 26,8/1/2015,League,6,"Patliputra Sports Complex, Patna",6,Patna Pirates,7,Puneri Paltan,7,Choice of court :Left,32,28,6.0,Patna Pirates,4,False,18,11,2,1,17,8,2,1,43,16,8,19,0,43,12,12,19,0,25,11,0,19,7,0,0,1
88,2,Match 27,8/2/2015,League,6,"Patliputra Sports Complex, Patna",7,Puneri Paltan,3,Jaipur Pink Panthers,7,Choice of court :Right,29,35,3.0,Jaipur Pink Panthers,6,False,20,7,0,2,20,11,2,2,41,15,11,15,0,41,17,7,17,0,22,6,0,25,9,0,0,0
89,2,Match 28,8/2/2015,League,6,"Patliputra Sports Complex, Patna",6,Patna Pirates,4,Bengal Warriors,6,Choice of court :Right,20,20,,Tie,0,True,9,10,0,1,10,7,0,3,43,9,8,26,0,43,10,11,22,0,18,10,0,14,7,0,0,0
90,2,Match 29,8/4/2015,League,9,"Gachibowli Indoor Stadium, Hyderabad",8,Telugu Titans,3,Jaipur Pink Panthers,3,Choice of court :Left,39,39,,Tie,0,True,26,11,2,0,26,6,4,3,45,18,8,19,0,46,24,10,12,0,31,10,0,28,6,0,1,1
