player_id,player_name,role,first_season,latest_season,career_matches,career_raid_points,career_tackle_points,career_total_points,career_super_raids,career_super_10s,career_high_5s,career_super_tackles
3107,Neeraj Kumar,Defender,7,10,80,2,172,174,0,0,9,6
107,Shrikant Tewthia,All Rounder,1,8,81,78,94,172,1,1,2,6
5185,Nitin Kumar,Right Raider,10,10,20,169,0,169,4,8,0,0
3239,Ashu Singh,Defender,7,10,87,6,160,166,0,0,4,14
567,Mohsen Maghsoudlou,Raider,5,9,80,111,55,166,2,1,0,4
3159,Vishal,All Rounder,6,10,74,2,163,165,0,0,6,2
264,Selvamani K,Defender,2,10,61,155,7,162,4,2,0,0
4954,Mohit,Defender,8,10,67,5,156,161,1,0,9,13
3574,Ankush,Defender - Left Corner,9,10,46,0,159,159,0,0,17,12
3103,Shubham Shinde,Defender - Right corner,6,10,84,8,151,159,0,0,5,8
3000,Sombir,Defender,6,10,74,4,153,157,0,0,11,16
4965,Sahil Gulia,Defender,8,10,63,0,156,156,0,0,8,9
234,Surender Singh,Defender,2,7,54,146,9,155,1,2,0,0
300,Abolfazel Maghsodlo,Raider,3,8,60,147,8,155,1,0,0,1
660,Bhavani Rajput,Raider,5,10,71,151,3,154,3,1,0,0
249,Hadi Oshtorak,All Rounder,2,8,110,25,127,152,0,0,3,5
482,Farhad Milaghardan,Defender,5,7,65,73,79,152,0,1,1,0
3065,Nitin Rawal,Defender,6,9,59,77,72,149,3,0,3,4
5252,Amirmohammad Zafardanesh,All-Rounder,10,10,20,141,7,148,2,6,0,0
3964,Rinku,Defender,8,10,50,0,147,147,0,0,9,19
3161,Himanshu,Defender,7,10,54,90,53,143,3,0,1,6
3965,MANJEET,Raider,8,10,45,125,18,143,4,1,0,4
376,Athul M S,Raider,4,8,55,140,1,141,0,0,0,0
4769,Sahul Kumar,All-Rounder,8,10,63,1,140,141,0,0,5,10
4192,Abinesh Nadarajan,Defender - Right Cover,8,10,61,5,135,140,0,0,7,9
242,Tushar Patil,Raider,2,6,67,135,4,139,3,0,0,0
4949,Krishan,Defender,8,10,66,0,139,139,0,0,8,10
3095,Adarsh T,Defender - Left Corner,6,9,57,107,31,138,3,1,0,3
4186,Rahul Sethpal,Defender - Right Corner,8,10,56,15,123,138,0,0,9,23
4972,Aman,Defender – Left Corner,8,10,60,2,135,137,0,0,4,7
141,Sunil Jaipal,,1,5,42,87,50,137,0,0,0,3
190,Sonu Narwal,,2,4,36,133,0,133,0,1,0,0
5002,Jai Bhagwan,Raider,9,10,32,122,10,132,6,1,0,3
2322,Ankit Beniwal,Raider,6,8,29,116,16,132,2,4,0,0
3084,Rinku Narwal,Defender,6,9,62,2,127,129,0,0,5,2
522,Dong Geon Lee,Raider,5,9,55,127,2,129,1,2,0,1
73,Nilesh Shinde,,1,5,69,18,109,127,0,0,5,1
191,C. Arun,Defender,2,8,107,5,121,126,0,0,3,6
4108,Shivam Patare,Left Raider,10,10,23,116,4,120,3,3,0,1
248,Sandeep,Defender - Left Corner,2,9,46,11,107,118,0,0,8,2
4179,Sushil,Raider,9,10,21,117,0,117,5,4,0,0
764,Vinod Kumar,Raider,5,9,55,63,47,110,2,0,2,5
207,Sunil Kumar,All Rounder,2,6,69,4,104,108,0,0,2,1
4193,Sudhakar M,Raider,10,10,19,103,2,105,2,3,0,1
3014,M. Abishek,Defender,7,10,61,0,104,104,0,0,3,3
46,Gurvinder Singh,All Rounder,1,7,60,82,21,103,1,1,0,0
621,Baldev Singh,Defender - Right Corner,6,9,58,3,100,103,0,0,7,0
4222,Rohit Tomar,Raider,8,9,23,85,18,103,1,1,1,3
324,Darshan,Raider,3,7,49,91,11,102,2,1,0,3
3046,Rakesh Gowda,Raider,7,8,25,87,15,102,1,1,0,0
5022,Reza Mirbagheri,Defender,9,10,38,4,96,100,0,0,4,10
165,Sachin Shingade,Defender,1,6,89,0,100,100,0,0,4,1
96,Rohit Rana,All Rounder,1,6,84,2,98,100,0,0,4,0
179,Vikas Kale,Defender,2,7,79,0,99,99,0,0,4,0
3115,Amit Sheoran,Defender,6,10,52,1,97,98,0,0,5,3
217,Rohit Kumar Choudary,Raider,2,6,45,93,3,96,0,1,0,0
311,Anil Kumar,Defender - Left Cover,3,9,77,4,92,96,0,0,0,0
3234,Sanket Sawant,Defender,7,10,74,0,95,95,0,0,0,3
121,Vikas Jaglan,Raider,5,10,64,50,43,93,2,0,0,1
5128,Gaurav Khatri,Defender - Right Corner,9,10,40,4,89,93,0,0,4,4
3138,Harendra Kumar,Defender,7,10,77,2,90,92,0,0,2,5
5163,Gagana Gowda,Right Raider,10,10,13,92,0,92,4,3,0,0
67,Mahipal Narwal,,1,5,40,57,35,92,0,1,0,0
5032,Mohit,Defender - Left Corner,9,10,42,0,91,91,0,0,3,7
5282,Sandeep Kumar,Raider,10,10,20,86,1,87,0,1,0,0
109,Somvir Shekhar,,1,5,61,1,86,87,0,0,4,1
2041,Gurdeep,All Rounder,7,10,60,2,85,87,0,0,3,8
791,Nitin Rawal,,5,5,22,65,20,85,4,2,0,1
3154,Sachin Narwal,All Rounder,7,10,39,81,3,84,2,0,0,0
5114,Vaibhav Garje,Defender - Right Cover,9,10,40,2,82,84,0,0,4,4
164,Bajirao Hodage,Defender,1,6,64,0,84,84,0,0,2,0
34,Bhupender Singh,All Rounder,2,6,67,71,12,83,3,0,1,0
4964,Mohit,Defender,8,10,59,5,78,83,0,0,1,3
2023,Ruturaj Koravi,Defender,6,8,50,0,82,82,0,0,1,3
51,Jasmer Singh Gulia,,1,6,51,8,74,82,0,0,5,1
218,Sachin Kumar,Defender,5,7,51,26,55,81,0,0,3,0
4939,Pardeep Kumar,Raider,8,9,22,76,4,80,3,1,0,0
347,Sagar B. Krishna,All Rounder,4,8,76,2,78,80,0,0,5,3
3104,Sumit Singh,Defender,6,7,27,69,9,78,0,0,0,0
358,Vishal Bharadwaj,,4,5,25,1,77,78,0,0,5,3
55,Jitesh Joshi,,1,2,21,53,24,77,0,0,0,0
5144,Yogesh,Defender - Right Corner,10,10,23,3,74,77,0,0,5,6
70,Manoj Kumar,,1,5,66,25,51,76,0,0,2,2
162,D. Suresh Kumar,,1,5,59,0,75,75,0,0,2,2
5046,Visvanath V,All-Rounder,9,10,29,51,20,71,1,0,0,4
3126,Amit,All Rounder,6,8,53,2,67,69,0,0,2,2
4963,Himanshu Singh,Raider,8,10,31,62,7,69,3,1,0,1
268,Vineet Sharma,Raider,2,7,46,42,26,68,0,0,0,1
79,Pravin Niwale,,1,3,18,62,6,68,0,1,0,0
732,Kuldeep Singh,All Rounder,5,7,43,1,67,68,0,0,3,1
5169,Ankit,All-Rounder,10,10,23,0,66,66,0,0,5,5
613,Sunil Siddhgavali,Raider,5,8,50,5,61,66,0,0,5,1
4970,Shivam,Raider,8,10,25,60,6,66,0,1,0,2
390,Jawahar,,4,7,49,9,56,65,0,0,2,3
745,Vijay,,5,5,23,27,37,64,1,0,1,3
4757,Vishwas S,Raider,8,10,24,62,2,64,1,0,0,0
4956,Deepak Singh,Defender,8,10,30,4,59,63,0,0,4,3
365,Akshay Jadhav,Raider,4,6,38,37,25,62,0,0,2,2
387,Vinod Kumar,Raider,4,7,32,52,9,61,0,0,0,0
5138,Akshit,Left Raider,10,10,10,61,0,61,2,1,0,0
724,Darshan J.,Defender,5,8,37,1,59,60,0,0,1,1
3094,Ravindra Ramesh Kumawat,Defender,6,8,21,52,7,59,2,0,0,0
733,Surinder Singh,,5,5,22,0,58,58,0,0,3,0
3175,Mohammad Esmaeil Maghsoudlou,Raider,7,9,28,41,16,57,0,0,0,1
3110,Amit Kumar,,6,7,21,28,27,55,1,0,1,0
5197,Robin Chaudhary,Right Raider,10,10,17,52,0,52,0,0,0,0
3343,Sajin C,All-Rounder,8,10,41,0,52,52,0,0,1,6
168,Mangesh Bhagat,,1,1,8,27,25,52,0,0,1,0
231,Amit Rathi,,2,5,25,46,6,52,0,0,0,0
3151,Manoj Gowda,All Rounder,8,9,21,44,8,52,2,0,0,1
4848,Mayur Kadam,Defender,8,10,45,0,52,52,0,0,2,1
5018,Heidarali Ekrami,Raider,9,10,22,49,2,51,2,0,0,1
2025,Ajinkya Kapre,All Rounder,7,9,25,44,7,51,2,0,0,0
3227,Ankit,Defender,7,9,38,2,48,50,0,0,1,9
5117,Pranay Rane,Raider,9,10,23,49,1,50,0,1,0,0
4723,Rohit,All Rounder,8,10,20,39,10,49,2,0,0,2
5121,Anil Kumar,Raider,9,10,21,43,6,49,1,0,0,1
795,Monu,,5,5,24,19,30,49,1,0,1,1
5157,Prafull Zaware,Left Raider,10,10,19,43,5,48,0,0,0,0
5141,Ashish,Defender - Left Corner,10,10,19,0,48,48,0,0,4,2
158,Rakesh Singh Kumar,,1,5,51,1,46,47,0,0,2,1
725,Nitesh Kumar,,5,5,22,0,47,47,0,0,4,1
3593,Sourav Gulia,Defender,8,10,26,0,47,47,0,0,3,0
5160,Sombir,Defender - Left Corner,10,10,15,3,44,47,0,0,4,3
2297,Arkam Shaikh,All-Rounder,6,10,30,3,43,46,0,0,1,0
4928,Amirhossein Bastami,Defender,9,10,31,2,44,46,0,0,2,3
576,Anand Patil,Raider,5,6,26,46,0,46,2,0,0,0
232,Sachin V.,Defender - Left Corner,2,8,34,14,31,45,0,0,1,1
245,Yogesh Hudda,Raider,2,6,30,35,10,45,0,0,0,0
3058,Suraj Desai,All Rounder,7,7,12,44,1,45,1,1,0,0
215,Vinod Kumar,Defender,3,6,28,0,44,44,0,0,0,0
5118,Mahipal,Raider,9,10,12,43,1,44,1,1,0,0
4191,Sanjeevi S,All- Rounder,10,10,16,38,6,44,2,0,0,1
108,Shyam Kumar Sah,,1,3,39,17,27,44,0,0,1,0
773,Satpal,Defender,5,6,24,5,38,43,0,0,1,2
3011,Jadhav Shahaji,Defender,7,10,38,0,43,43,0,0,3,0
167,Preetam Chhillar,,1,5,76,15,27,42,1,0,0,0
4978,Balaji D,All Rounder,8,10,38,0,42,42,0,0,0,1
5039,Shankar Gadai,All-Rounder,9,10,34,12,30,42,0,0,0,0
5095,Vinay,Raider,9,9,15,38,4,42,1,0,0,1
3101,Ponparthiban Subramanian,Defender-Right Cover,6,10,34,0,40,40,0,0,3,0
3100,Parveen,Defender - Left Cover,6,9,40,3,37,40,0,0,1,0
778,Narender,,6,7,28,0,40,40,0,0,2,0
3031,Galla Raju,Raider,8,8,12,34,6,40,1,0,0,0
44,Gangadhari Mallesh,All Rounder,1,6,42,19,21,40,0,0,0,0
361,Sombir,,4,5,27,0,39,39,0,0,2,6
3004,Akash Choudhary,Defender,7,10,24,0,39,39,0,0,1,1
5187,Mohit,Defender - Right Corner,10,10,14,3,36,39,0,0,1,5
173,Suresu Kumar,,1,5,34,31,8,39,0,0,0,0
4228,Shubham Kumar,Defender - Left Cover,8,9,32,1,37,38,0,0,0,4
686,Rohit Gulia,,5,5,21,35,3,38,0,0,0,0
5116,Aditya Shinde,Raider,9,10,18,37,0,37,1,1,0,0
728,Manish,Defender,5,6,43,0,37,37,0,0,0,5
84,Rajaguru Subramanian,Defender,1,7,48,1,35,36,0,0,0,0
5174,Ajit Pawar,Defender - Left Cover,10,10,19,6,30,36,1,0,2,4
718,R. Sriram,All Rounder,5,7,16,35,1,36,0,0,0,0
185,Vijin Thangadurai,Defender,2,9,81,0,36,36,0,0,0,1
5113,Abhishek KS,Defender - Left Cover,9,10,31,0,35,35,0,0,1,5
61,Kuldeep Singh,,1,5,23,0,35,35,0,0,3,1
5153,Vishal Chahal,Right Raider,10,10,10,34,1,35,2,1,0,0
762,Vikas,,5,5,20,30,5,35,0,0,0,1
5254,Milad Jabbari,Defender,10,10,13,2,33,35,0,0,2,7
3076,Santhapanaselvam,All Rounder,6,10,30,0,34,34,0,0,0,2
768,Vijay Kumar,Defender,5,9,46,6,28,34,0,0,0,6
3133,Amit Kumar,,6,6,17,12,21,33,1,0,1,0
536,Ziaur Rahman,Defender,5,6,41,0,32,32,0,0,1,2
371,Amit Nagar,Defender,4,8,24,23,9,32,0,0,0,0
150,Parmod Narwal,,1,5,51,21,11,32,0,0,0,0
28,Amit Singh Chhillar,,1,5,40,1,31,32,0,0,1,0
5162,Hitesh,Defender - Right Corner,10,10,17,0,31,31,0,0,3,5
611,Sidharth,,5,5,21,4,27,31,0,0,1,3
152,D. Gopu,Defender,1,6,35,4,27,31,0,0,1,1
98,Sachin Khambe,,1,2,22,5,26,31,0,0,2,0
784,Viraj Vishnu Landge,Defender,5,9,39,0,30,30,0,0,0,0
3970,Himanshu Narwal,Raider,9,10,9,30,0,30,0,0,0,0
3045,Mayur Shivtarkar,All Rounder,6,7,29,4,26,30,0,0,0,0
4675,Akash Pikalmunde,Raider,8,9,10,28,2,30,0,1,0,0
56,Kalimuthu Balamahendran,,1,3,24,18,12,30,0,0,0,0
2316,Azad singh,,6,7,13,27,2,29,1,0,0,0
172,Vinoth Kumar,Defender,1,7,34,29,0,29,0,0,0,0
171,Pradeep Kumar,,1,2,13,24,5,29,0,1,0,0
301,Hadi Tajik,All Rounder,3,8,52,5,24,29,0,0,0,1
722,D. Pradap,,5,5,16,9,20,29,0,0,0,1
5102,Naveen Kundu,Defender - Left Corner,9,10,18,0,29,29,0,0,2,1
309,Manpreet Singh,,3,3,13,24,5,29,0,0,0,0
5134,Aditya S. Shinde,Defender - Left Corner,10,10,16,7,21,28,0,0,0,0
272,Umesh Mhatre,,3,5,30,19,9,28,0,0,0,0
3235,Sushant Sail,Raider,7,8,14,24,4,28,1,0,0,0
16,Waleed Al Hasani,,1,3,19,14,14,28,0,0,1,0
4795,K Hanumanthu,All-rounder,9,9,8,24,4,28,0,1,0,0
274,Krushna Madane,Defender,3,7,19,1,27,28,0,0,1,0
3089,Pankaj,All Rounder,6,8,15,0,28,28,0,0,2,0
3019,Mohit Sehrawat,Defender,7,8,28,5,22,27,0,0,1,0
5137,Parteek,Defender - Left Cover,10,10,13,0,27,27,0,0,1,4
644,Anand Surendra Tomar,Raider,6,9,9,26,1,27,1,0,0,0
519,Young Chang Ko,Defender,5,7,48,0,26,26,0,0,1,0
734,Vikas,,5,5,22,0,26,26,0,0,0,2
3029,Banty,Raider,7,7,15,22,3,25,0,0,0,0
5146,Vishal Tate,Right Raider,10,10,3,24,1,25,2,1,0,0
5196,Vikrant,Defender-Left Cover,10,10,18,0,25,25,0,0,0,1
5037,Kiran Magar,Defender - Left Corner,9,10,25,0,25,25,0,0,0,3
147,Prashant Chavan,,1,4,44,1,24,25,0,0,0,0
267,Amit Kumar,Defender,2,7,22,10,15,25,0,0,0,0
386,Anil Kumar,Raider,4,6,23,1,24,25,0,0,0,0
195,Ashish Chhokar,Defender,2,6,20,21,4,25,1,0,0,0
14,Tae Deok Eom,,1,6,51,14,10,24,0,0,0,0
2298,Armaan,,6,7,10,22,2,24,2,1,0,0
372,Harish Naik,,5,5,15,24,0,24,0,1,0,0
275,Deepak Kumar,,3,5,31,9,15,24,0,0,0,1
3226,Sumit,Defender,7,10,21,0,24,24,0,0,1,0
233,Manoj Dhull,Defender,2,6,36,0,24,24,0,0,0,0
5078,Harsh Lad,Defender - Left Corner,9,10,12,0,23,23,0,0,1,2
648,Ajit Singh,,5,5,16,23,0,23,1,0,0,0
5101,Monu Hooda,Defender - Right Corner,9,10,22,0,23,23,0,0,1,1
5155,Nitin Singh,Raider,10,10,9,20,3,23,0,0,0,1
3085,D. Pradap,All Rounder,6,6,13,9,13,22,0,0,0,0
796,Rinku Narwal,,5,5,24,1,21,22,0,0,1,4
771,Suresh Kumar,,5,5,19,22,0,22,0,0,0,0
314,Somvir,,3,4,17,1,21,22,0,0,0,0
288,Rahul Kumar,,3,5,40,0,22,22,0,0,0,1
4957,Manish,Defender,8,10,29,1,20,21,0,0,0,4
299,Sandeep,Defender,3,9,44,0,21,21,0,0,0,0
3091,Harish Naik,All Rounder,6,6,7,21,0,21,0,0,0,0
3099,Ankit,Defender,6,9,24,1,20,21,0,0,0,0
87,Raju Lal Choudhary,All Rounder,1,7,30,0,21,21,0,0,0,0
3090,Rakshith,All Rounder,6,10,14,21,0,21,1,0,0,0
5042,Lucky Sharma,Defender - Right Corner,9,10,28,0,21,21,0,0,1,3
5158,Omkar Patil,Right Raider,10,10,10,19,1,20,3,0,0,0
3070,Brijendra Singh Choudhary,All Rounder,8,8,6,15,5,20,1,0,0,0
3052,Sushil Gulia,Raider,7,8,7,19,1,20,2,0,0,0
5159,Bittu,Defender - Right Corner,10,10,11,0,20,20,0,0,1,2
4836,Ankit,Defender - Left Corner,10,10,11,2,18,20,0,0,1,0
3177,Mohammad Taghi Paein Mahali,Defender,7,8,11,16,4,20,1,0,0,0
4962,Aashish,Defender,8,10,16,1,18,19,0,0,0,2
38,Dadaso Balaso Awad,,1,2,13,5,14,19,0,0,0,0
5096,Vijay Kumar,Defender - Left Corner,9,10,19,0,19,19,0,0,0,2
182,Dinesh Kumar,,2,2,8,19,0,19,0,0,0,0
4693,Manuj,Defender,8,10,21,0,19,19,0,0,0,1
5145,Nitin,Raider,10,10,9,17,2,19,1,0,0,0
277,Anil Shriram Nimbolkar,,3,3,8,15,4,19,0,1,0,0
5020,Mohammadreza Kaboudrahangi,Defender,10,10,6,2,17,19,0,0,1,6
3039,Nitin Panwar,All Rounder,8,10,15,4,15,19,0,0,0,2
3973,Durgesh Kumar,Raider,9,9,10,16,3,19,1,0,0,0
3910,Gokulakannan M,Defender - Right Cover,10,10,13,0,19,19,0,0,2,0
3969,Prince D,Defender,8,9,23,3,15,18,0,0,0,3
2257,Victor Obiero,Defender,6,8,9,15,3,18,0,0,0,0
4923,Hamid Nader,All Rounder,8,10,20,5,13,18,0,0,1,1
5319,Mohit,Defender-Right Cover,10,10,20,0,18,18,0,0,0,0
2291,Amit Kumar,All Rounder,7,7,6,16,2,18,0,0,0,0
3111,Ajeet,Defender,7,8,16,0,17,17,0,0,0,0
3021,Pavan TR,Defender,7,8,25,0,17,17,0,0,0,2
3156,Sourabh Tanaji Patil,All Rounder,7,7,3,17,0,17,0,1,0,0
2307,Kamal Singh,,6,7,10,13,4,17,0,0,0,0
5148,Abhijeet Malik,Raider,10,10,5,16,1,17,1,0,0,0
5091,Ranjit Naik,Raider,9,9,7,15,2,17,0,0,0,0
5107,Anuj Kumar,Raider,9,10,6,17,0,17,1,0,0,0
696,M. Thivakaran,,5,5,12,14,2,16,0,0,0,0
665,Pankaj,,5,5,17,0,16,16,0,0,0,0
726,Babu M,Defender - Left Cover,5,10,14,0,16,16,0,0,0,1
4106,Tejas Patil,All-Rounder,9,10,7,16,0,16,0,1,0,0
647,Gulveer Singh,All Rounder,5,10,14,11,5,16,0,0,0,1
667,Elangeshwaran R,,5,5,13,12,4,16,1,0,0,2
5251,Alireza Mirzaeian,Raider,10,10,9,15,1,16,0,0,0,0
4873,Akshay,Raider,8,10,15,0,16,16,0,0,0,2
3793,Jaskirat Singh,Left Cover – Defender,10,10,14,0,16,16,0,0,0,1
243,Sanjay Kumar,,2,4,8,15,1,16,0,0,0,0
360,Sanket Chavan,,4,5,15,0,15,15,0,0,0,0
4966,Muhammed Shihas,Defender,8,9,13,3,12,15,0,0,2,3
4032,Shivansh Thakur,Defender - Right Cover,9,10,13,3,12,15,0,0,1,2
676,Santhapanaselvam,,5,5,10,0,15,15,0,0,0,0
97,Rupesh Tomar,,1,5,26,5,10,15,0,0,0,0
313,Virender Wazir Singh,,3,5,19,14,1,15,1,0,0,0
238,Isac Antony,,2,3,15,11,4,15,0,0,0,0
200,Mohammad Maghsoudlou,,2,5,49,14,1,15,0,0,0,0
159,Samarjeet Singh,,1,3,26,3,12,15,0,0,0,1
32,Balbir Singh,,1,2,12,10,5,15,0,0,0,0
5094,Jatin,Raider,10,10,6,13,1,14,0,0,0,0
2274,C Manoj Kumar,,6,6,12,10,4,14,0,0,0,0
837,Rakshith,,5,5,12,12,2,14,0,0,0,0
3179,Emad Sedaghatnia,Raider,7,8,3,14,0,14,1,0,0,0
5324,Rohit Kumar,Defender - Left Cover,10,10,4,1,13,14,0,0,1,0
4961,Shubham Shelke,Raider,8,10,11,14,0,14,0,0,0,0
2325,Anand,,6,7,8,14,0,14,1,0,0,0
5161,Mukilan Shanmugam,Defender - Left Cover,10,10,9,0,14,14,0,0,1,3
4224,Arpit Saroha,Defender - Right Corner,9,10,11,0,14,14,0,0,1,3
391,S Mahalingam,,4,4,12,0,14,14,0,0,0,0
